Date,Fecha_Objetivo,close,Close_Siguiente,Objetivo,Logistica_probabilidad,Logistica_clase,Base_mayoritaria_probabilidad,Base_mayoritaria_clase,PyTorch_MLP_probabilidad,PyTorch_MLP_clase,Keras_LSTM_probabilidad,Keras_LSTM_clase
2023-03-02,2023-03-03,12.48,12.84000015258789,1,0.43104056,0,0.0,0,0.45413396,0,0.4766909,0
2023-03-03,2023-03-06,12.84,13.039999961853027,1,0.5016944,1,0.0,0,0.45994917,0,0.48125625,0
2023-03-06,2023-03-07,13.04,12.670000076293944,0,0.4716054,0,0.0,0,0.4590402,0,0.478194,0
2023-03-07,2023-03-08,12.67,13.18000030517578,1,0.44558874,0,0.0,0,0.4557866,0,0.48024666,0
2023-03-08,2023-03-09,13.18,12.5600004196167,0,0.52347285,1,0.0,0,0.45896253,0,0.47778216,0
2023-03-09,2023-03-10,12.56,11.710000038146973,0,0.42756158,0,0.0,0,0.45539495,0,0.47912455,0
2023-03-10,2023-03-13,11.71,11.270000457763672,0,0.42558327,0,0.0,0,0.44757318,0,0.48912737,0
2023-03-13,2023-03-14,11.27,10.989999771118164,0,0.5058352,1,0.0,0,0.45131683,0,0.4876671,0
2023-03-14,2023-03-15,10.99,10.3100004196167,0,0.4865879,0,0.0,0,0.4518168,0,0.48573068,0
2023-03-15,2023-03-16,10.31,10.880000114440918,1,0.43652466,0,0.0,0,0.44395623,0,0.47624364,0
2023-03-16,2023-03-17,10.88,10.4399995803833,0,0.4956945,0,0.0,0,0.4528925,0,0.4821792,0
2023-03-17,2023-03-20,10.44,10.279999732971191,0,0.4376175,0,0.0,0,0.45269233,0,0.476408,0
2023-03-20,2023-03-21,10.28,11.050000190734863,1,0.46998024,0,0.0,0,0.454857,0,0.47672215,0
2023-03-21,2023-03-22,11.05,10.739999771118164,0,0.44177336,0,0.0,0,0.4539187,0,0.4851314,0
2023-03-22,2023-03-23,10.74,10.579999923706056,0,0.44085664,0,0.0,0,0.45753253,0,0.4801929,0
2023-03-23,2023-03-24,10.58,10.649999618530272,1,0.4391401,0,0.0,0,0.4548933,0,0.48005313,0
2023-03-24,2023-03-27,10.65,11.1899995803833,1,0.46663916,0,0.0,0,0.46024275,0,0.47854653,0
2023-03-27,2023-03-28,11.19,11.399999618530272,1,0.45495898,0,0.0,0,0.45693624,0,0.47039852,0
2023-03-28,2023-03-29,11.4,11.630000114440918,1,0.47724935,0,0.0,0,0.45713958,0,0.46176565,0
2023-03-29,2023-03-30,11.63,11.399999618530272,0,0.4682925,0,0.0,0,0.4555589,0,0.45541146,0
2023-03-30,2023-03-31,11.4,10.979999542236328,0,0.41852322,0,0.0,0,0.45538673,0,0.45353717,0
2023-03-31,2023-04-03,10.98,11.359999656677246,1,0.42494035,0,0.0,0,0.45493078,0,0.45873117,0
2023-04-03,2023-04-04,11.36,11.09000015258789,0,0.4633942,0,0.0,0,0.46029645,0,0.45477718,0
2023-04-04,2023-04-05,11.09,11.09000015258789,0,0.43361282,0,0.0,0,0.46130535,0,0.46506324,0
